E_rel_keV,count
2,0
6,127
10,1125
14,3386
18,6373
22,8555
26,9896
30,10570
34,10194
38,9284
42,8139
46,6999
50,5655
54,4523
58,3651
62,2894
66,2162
70,1656
74,1261
78,949
82,710
86,495
90,427
94,282
98,201
102,143
106,102
110,80
114,42
118,38
122,26
126,16
130,10
134,5
138,4
142,10
146,2
150,1
154,3
158,1
162,1
166,0
170,1
174,1
178,0
182,0
186,0
190,0
194,0
198,0
202,0
206,0
210,0
214,0
218,0
222,0
226,0
230,0
234,0
238,0
242,0
246,0
250,0
254,0
258,0
262,0
266,0
270,0
274,0
278,0
282,0
286,0
290,0
294,0
298,0
302,0
306,0
310,0
314,0
318,0
322,0
326,0
330,0
334,0
338,0
342,0
346,0
350,0
354,0
358,0
362,0
366,0
370,0
374,0
378,0
382,0
386,0
390,0
394,0
398,0
