E_rel_keV,cosTheta_cm,phi,K3_lab_keV,K4_lab_keV,cosTheta3_lab,pT3_lab_keV,E3,px3,py3,pz3,E4,px4,py4,pz4
33.0213,0.0818959,2.80033,2505.68,823.397,0.0598509,68541.1,942071,-65599.1,19865.5,4109.61,2.80922e+06,59510.3,-31371.9,-9992.36
47.0419,0.510872,5.61519,2337.38,994.281,0.495325,57608.5,941903,44394.2,-36713.6,32847.6,2.80939e+06,-51341.4,35476.5,-41123.4
26.9478,-0.799509,2.2038,2353.31,973.21,-0.76873,42557.9,941919,-24455.7,34829.5,-51152.1,2.80936e+06,23510.1,-27572.3,64453.8
32.9721,0.324123,5.84764,2647.3,668.424,0.326542,66711.7,942213,60053.2,-29052.8,23047.6,2.80906e+06,-53914.5,21789.4,-19320.6
55.844,0.501582,1.83269,2434.13,899.908,0.480051,59367.8,942000,-14408.7,57592.7,32487.7,2.80929e+06,18088.8,-56038.4,-39848.4
44.3508,0.0570307,3.27249,2539.93,798.319,0.105584,68746.2,942105,-68171,-8874.12,7299.28,2.80919e+06,66065.3,8998.6,6247.1
16.9847,-0.156987,2.09968,2622.79,675.621,-0.142248,69538.3,942188,-35291,59917.6,-9993.31,2.80907e+06,29802.3,-52390.3,12741.8
45.0545,0.164516,3.26174,2579.89,738.925,0.17314,68622.7,942145,-68074.1,-8659.93,12063.6,2.80913e+06,63507.3,6350.68,-8799.23
37.3448,0.887949,3.33136,2588.07,733.179,0.902118,30111.8,942153,-29574,-5665.59,62954.8,2.80912e+06,34591.6,6689.19,-53640.7
20.9215,0.407398,0.977778,2482.91,808.415,0.398972,62675.5,942048,34588.1,52267.4,27270.2,2.8092e+06,-35251,-49488.6,-29147.7
70.6277,0.955429,1.56108,2674.63,676.925,0.95732,20505.1,942240,-32.089,20505.1,67916.7,2.80907e+06,-879.512,-19503.3,-58493.1
31.3295,0.797473,2.65259,2423.35,883.731,0.787103,41651,941989,-37327.7,18478.4,53149.3,2.80928e+06,33344.9,-21870.9,-58088.6
40.3065,0.385256,1.20325,2448.44,863.406,0.39274,62420.7,942014,21601.8,58563.6,26657,2.80926e+06,-25760.8,-59561.9,-25280
49.6066,-0.536992,2.50765,2349.1,988.91,-0.566253,54796.1,941915,-44196.5,32392.8,-37645.3,2.80938e+06,53306.7,-39484.6,33982.9
81.3326,-0.895142,5.8294,2427.84,930.26,-0.900128,29443,941993,27024.3,-11686.7,-60837.8,2.80932e+06,-29049.5,18623.1,63523.5
27.9811,-0.574875,3.0058,2392.17,932.945,-0.615995,52849.3,941958,-52424.1,6690.38,-41326.4,2.80932e+06,63734.4,-10118.5,32810.9
34.2488,-0.58015,3.34956,2294.26,1047.09,-0.544935,55088,941860,-53482.7,-13201.7,-35802.2,2.80944e+06,57051,6324.59,50868
20.0739,0.6964,2.87153,2479.98,833.654,0.659978,51320.9,942045,-49332.9,14145.7,45083.6,2.80923e+06,40406.4,-9726.43,-54367.9
44.7869,0.300043,2.66169,2611.56,711.932,0.283752,67220.6,942177,-59429.8,31412,19891.6,2.8091e+06,53054,-26185,-22335.9
30.1615,0.930643,2.4873,2446,863.748,0.938557,23413.5,942011,-19498,12962.3,63672.2,2.80926e+06,20698.8,-21818.7,-62831
30.2046,0.192893,3.56099,2518.26,824.722,0.255095,66559.3,942084,-61236,-26082.3,17559.9,2.80922e+06,60740.3,30717.8,-13.913
31.4094,0.985409,0.300759,2568.87,735.652,0.985979,11601.7,942134,11209.1,2992.88,68551,2.80913e+06,-10724.4,-4769.02,-63204.3
27.5117,0.452759,5.86819,2427.26,873.478,0.435435,60836.8,941993,55631.8,-24621.4,29426.6,2.80927e+06,-55575.3,24154.7,-35140.3
57.1003,-0.661508,3.1512,2729.83,657.045,-0.690006,51877.8,942295,-51798.5,2867.55,-49455.5,2.80905e+06,49992.2,10514.7,32880.7
18.7797,0.606809,1.0906,2418.08,875.442,0.588742,54522.6,941983,25420,48234.2,39711.7,2.80927e+06,-23728.2,-47254,-46064.8
34.9099,0.34112,0.830991,2561.21,750.701,0.35337,64943.1,942127,42817.2,48829.2,24531.7,2.80914e+06,-44516.6,-43053.2,-19539.3
41.2155,0.613581,2.25849,2592.69,729.706,0.604476,55642.4,942158,-36621.6,41892,42221.3,2.80912e+06,27123.4,-41034.1,-40983.7
101.82,-0.0150364,2.48241,2432.31,955.867,0.0182674,67638.8,941998,-52722.3,42371.9,1235.79,2.80935e+06,59725.5,-41732.9,7812.47
42.3256,0.696849,0.613109,2212.62,1140.37,0.695796,46340,941778,39148.6,24794.9,44892,2.80953e+06,-42831.5,-38331.8,-55701.2
72.4689,0.887956,1.89526,2565.57,781.195,0.884976,32352.9,942131,-9074.08,31054.3,61489.1,2.80917e+06,13009.3,-26523.7,-59293
23.3598,0.427165,3.74279,2375.76,921.176,0.416517,60782.5,941941,-50189.9,-34285.5,27847.5,2.80931e+06,52590.1,36488.5,-32829.4
38.2712,0.653148,1.91144,2410.78,908.024,0.675475,49662.5,941976,-15892.5,47051,45493.1,2.8093e+06,21387.8,-53732,-41909.8
21.6376,-0.933698,2.43904,2206.39,1125.24,-0.943463,21356.5,941772,-15316.3,14883.2,-60785.4,2.80952e+06,28435.1,-18361.7,71942.9
27.657,0.394856,1.85851,2294.03,1018.31,0.410217,59914.6,941859,-16650,57554.6,26949.9,2.80941e+06,21113.9,-67498.1,-26811.8
30.4107,0.365063,0.246977,2510.08,795.758,0.377029,63652.8,942076,61355,16948.2,25911.2,2.80919e+06,-62171.7,-11264.4,-21863.8
42.4539,-0.942271,3.33031,2428.28,884.288,-0.942187,22650,941994,-22297.7,-3979.34,-63686.2,2.80928e+06,22984,5223.01,66423.6
34.0785,0.1961,2.83874,2415.75,892.442,0.176692,66358.4,941981,-63392.6,19616.5,11912.4,2.80928e+06,65258.9,-20962.3,-17757
45.5934,-0.660559,0.00499338,2403.45,913.64,-0.658772,50592.8,941969,50591.7,339.248,-44300.4,2.80931e+06,-53470.9,-8.67701,47680.4
60.2499,-0.0491167,1.88763,2560.93,788.472,-0.0164755,69408.7,942126,-23455.4,65325.4,-1143.7,2.80918e+06,14938,-64081.3,9986.85
15.8235,0.496644,0.0727057,2289.33,1012.24,0.479836,57580.4,941855,57475.4,3475.1,31491.3,2.8094e+06,-63154,-6720.52,-40656.5
28.613,0.602407,2.64629,2435.11,863.127,0.60435,53929.2,942001,-47295.2,25913.9,40907.9,2.80925e+06,49610.8,-25714.3,-41548.6
26.0212,0.7189,2.25373,2450.85,849.304,0.731221,46322.7,942016,-28473.9,36538,49655.7,2.80924e+06,34129,-37367.4,-47010.3
32.3709,0.793671,2.60323,2588.57,718.829,0.799341,41936.6,942154,-36061.3,21407,55787.9,2.80911e+06,34334.3,-20888.8,-49222.3
33.199,-0.76961,5.67043,2483.31,822.406,-0.76968,43640.9,942049,36439.7,-24014.2,-52612.8,2.80921e+06,-33237.9,28149.4,52180.5
29.9739,0.972588,0.278353,2682.38,649.037,0.964698,18711,942248,17463,6718.85,68539.3,2.80904e+06,-8635.39,2685.72,-59700.4
39.7384,-0.00392088,6.13511,2414.67,896.015,0.0014719,67404.1,941980,66706.3,-9673.44,99.2123,2.80929e+06,-70032.8,11272.9,1362.12
