pT_over_pstar,count
0.005,7
0.015,13
0.025,25
0.035,29
0.045,46
0.055,47
0.065,62
0.075,80
0.085,87
0.095,97
0.105,103
0.115,109
0.125,116
0.135,139
0.145,140
0.155,174
0.165,191
0.175,179
0.185,199
0.195,172
0.205,207
0.215,204
0.225,214
0.235,242
0.245,248
0.255,230
0.265,277
0.275,291
0.285,310
0.295,302
0.305,297
0.315,334
0.325,330
0.335,382
0.345,387
0.355,414
0.365,398
0.375,375
0.385,394
0.395,417
0.405,461
0.415,447
0.425,453
0.435,512
0.445,497
0.455,495
0.465,497
0.475,521
0.485,503
0.495,556
0.505,570
0.515,638
0.525,596
0.535,662
0.545,651
0.555,627
0.565,630
0.575,700
0.585,687
0.595,705
0.605,787
0.615,754
0.625,836
0.635,824
0.645,824
0.655,853
0.665,959
0.675,912
0.685,942
0.695,915
0.705,1029
0.715,990
0.725,1024
0.735,1046
0.745,1076
0.755,1150
0.765,1206
0.775,1249
0.785,1277
0.795,1236
0.805,1295
0.815,1367
0.825,1412
0.835,1497
0.845,1499
0.855,1659
0.865,1722
0.875,1787
0.885,1898
0.895,1923
0.905,2132
0.915,2280
0.925,2453
0.935,2623
0.945,2924
0.955,3375
0.965,3900
0.975,4327
0.985,4468
0.995,4572
