K_keV,count
1551.36,0
1560.38,0
1569.4,0
1578.42,0
1587.43,0
1596.45,0
1605.47,0
1614.49,0
1623.51,0
1632.53,0
1641.54,0
1650.56,0
1659.58,0
1668.6,0
1677.62,0
1686.64,0
1695.65,0
1704.67,0
1713.69,0
1722.71,0
1731.73,0
1740.75,0
1749.76,0
1758.78,0
1767.8,0
1776.82,0
1785.84,0
1794.86,0
1803.87,0
1812.89,0
1821.91,0
1830.93,0
1839.95,0
1848.96,0
1857.98,0
1867,0
1876.02,0
1885.04,0
1894.06,0
1903.07,0
1912.09,0
1921.11,0
1930.13,0
1939.15,0
1948.17,0
1957.18,0
1966.2,0
1975.22,0
1984.24,0
1993.26,0
2002.28,1
2011.29,0
2020.31,0
2029.33,0
2038.35,0
2047.37,2
2056.39,2
2065.4,1
2074.42,2
2083.44,4
2092.46,7
2101.48,5
2110.49,10
2119.51,16
2128.53,17
2137.55,17
2146.57,39
2155.59,45
2164.6,46
2173.62,72
2182.64,83
2191.66,91
2200.68,149
2209.7,143
2218.71,197
2227.73,234
2236.75,299
2245.77,360
2254.79,412
2263.81,500
2272.82,517
2281.84,688
2290.86,755
2299.88,896
2308.9,1007
2317.92,1104
2326.93,1251
2335.95,1336
2344.97,1555
2353.99,1724
2363.01,1881
2372.03,2059
2381.04,2166
2390.06,2335
2399.08,2508
2408.1,2675
2417.12,2742
2426.13,2802
2435.15,3025
2444.17,3121
2453.19,3088
2462.21,3237
2471.23,3115
2480.24,3099
2489.26,3187
2498.28,3105
2507.3,3094
2516.32,3065
2525.34,2998
2534.35,2858
2543.37,2835
2552.39,2538
2561.41,2407
2570.43,2281
2579.45,2136
2588.46,1979
2597.48,1831
2606.5,1649
2615.52,1593
2624.54,1374
2633.56,1204
2642.57,1127
2651.59,1042
2660.61,854
2669.63,766
2678.65,707
2687.66,584
2696.68,536
2705.7,464
2714.72,372
2723.74,327
2732.76,300
2741.77,255
2750.79,222
2759.81,177
2768.83,111
2777.85,112
2786.87,102
2795.88,70
2804.9,65
2813.92,40
2822.94,42
2831.96,27
2840.98,23
2849.99,20
2859.01,15
2868.03,8
2877.05,10
2886.07,13
2895.09,7
2904.1,8
2913.12,5
2922.14,4
2931.16,1
2940.18,3
2949.2,0
2958.21,2
2967.23,0
2976.25,2
2985.27,0
2994.29,0
3003.3,0
3012.32,0
3021.34,1
3030.36,0
3039.38,2
3048.4,0
3057.41,0
3066.43,0
3075.45,0
3084.47,0
3093.49,0
3102.51,0
3111.52,0
3120.54,0
3129.56,0
3138.58,0
3147.6,0
3156.62,0
3165.63,0
3174.65,0
3183.67,0
3192.69,0
3201.71,0
3210.73,0
3219.74,0
3228.76,0
3237.78,0
3246.8,0
3255.82,0
3264.84,0
3273.85,0
3282.87,0
3291.89,0
3300.91,0
3309.93,0
3318.94,0
3327.96,0
3336.98,0
3346,0
