E_rel_keV,count
2.75,0
8.25,0
13.75,3
19.25,37
24.75,181
30.25,679
35.75,1898
41.25,3869
46.75,6415
52.25,9239
57.75,11246
63.25,12093
68.75,11693
74.25,10450
79.75,8799
85.25,6963
90.75,5157
96.25,3701
101.75,2555
107.25,1805
112.75,1230
118.25,748
123.75,487
129.25,315
134.75,176
140.25,115
145.75,60
151.25,35
156.75,23
162.25,12
167.75,8
173.25,7
178.75,0
184.25,1
189.75,0
195.25,0
200.75,0
206.25,0
211.75,0
217.25,0
222.75,0
228.25,0
233.75,0
239.25,0
244.75,0
250.25,0
255.75,0
261.25,0
266.75,0
272.25,0
277.75,0
283.25,0
288.75,0
294.25,0
299.75,0
305.25,0
310.75,0
316.25,0
321.75,0
327.25,0
332.75,0
338.25,0
343.75,0
349.25,0
354.75,0
360.25,0
365.75,0
371.25,0
376.75,0
382.25,0
387.75,0
393.25,0
398.75,0
404.25,0
409.75,0
415.25,0
420.75,0
426.25,0
431.75,0
437.25,0
442.75,0
448.25,0
453.75,0
459.25,0
464.75,0
470.25,0
475.75,0
481.25,0
486.75,0
492.25,0
497.75,0
503.25,0
508.75,0
514.25,0
519.75,0
525.25,0
530.75,0
536.25,0
541.75,0
547.25,0
