E_rel_keV,cosTheta_cm,phi,K3_lab_keV,K4_lab_keV,cosTheta3_lab,pT3_lab_keV,E3,px3,py3,pz3,E4,px4,py4,pz4
74.6418,0.534298,5.411,14469.9,3231.25,0.548021,138460,954035,90227,-105025,90714.1,3.73061e+06,-83154.7,108380,-73741.2
75.763,0.894035,4.86308,14576.5,3117.11,0.898409,72963.6,954142,11650.6,-72027.4,149265,3.7305e+06,-8376.97,73548.7,-133295
72.3847,0.616094,3.81849,14282.6,3415.6,0.633136,127289,953848,-99405.9,-79503.8,104117,3.73079e+06,103646,84744.3,-86891.1
55.8043,0.803885,4.74299,14821.2,2883.2,0.809717,98317.5,954387,4337.8,-98221.8,135662,3.73026e+06,2378.36,92413.9,-113824
78.2811,-0.669578,6.11707,13674.2,4022.82,-0.659931,120874,953240,119037,-20991.8,-106170,3.7314e+06,-122013,16407.6,121856
66.2033,0.190255,5.01718,13860.6,3853.13,0.217191,158115,953426,48356.7,-150539,35180.8,3.73123e+06,-47111.3,162160,-14954.4
77.7949,0.774533,0.0443324,14538.2,3168.72,0.782998,103208,954104,103175,2618.89,129918,3.73055e+06,-103342,-12242.8,-113149
46.5929,0.301618,2.50654,14235.4,3457.37,0.328247,155076,953801,-124941,91861.2,53889.4,3.73084e+06,126463,-93994.4,-30949
40.5343,-0.068581,3.54413,13754,3954.41,-0.0366491,161244,953319,-148584,-62629.2,-5913.44,3.73133e+06,154362,68218.2,31835
98.3372,-0.972396,5.32141,13691.5,4011.94,-0.972656,37388.5,953257,21076,-30882,-156581,3.73139e+06,-24702.9,32820.7,168038
74.7968,0.539908,2.15428,14635.2,3065.94,0.550348,139000,954201,-76243.8,116224,91621.9,3.73045e+06,73743.9,-108848,-74693.5
71.6342,0.576393,4.04759,14534.1,3159.26,0.588157,134171,954100,-82426.8,-105866,97575.1,3.73054e+06,81910.6,101739,-80630.4
51.2574,-0.355846,2.0447,14009.2,3689.72,-0.328604,153810,953575,-70597.8,136651,-53514.3,3.73107e+06,65726.3,-132043,75922.5
76.9572,0.718774,3.73647,14433.9,3259.01,0.729315,113110,953999,-93528.2,-63610.8,120572,3.73064e+06,96063.2,63725.9,-104960
66.1911,0.157774,1.59037,14215.6,3474.3,0.17926,161400,953781,-3327.61,161366,29409,3.73085e+06,2485.31,-160543,-11487.2
57.6328,0.566495,4.44799,14422.5,3269.05,0.584392,134101,953988,-35599.4,-129289,96574.6,3.73065e+06,33407.3,132001,-76422.7
55.116,0.627035,3.90275,14618.9,3072.46,0.640496,127778,954184,-92453.8,-88202.2,106570,3.73045e+06,90523.2,85748.7,-85828.9
66.4419,-0.550281,3.04605,13704.9,4002.13,-0.533165,136261,953270,-135818,10972.8,-85873.1,3.73138e+06,135286,-20964.2,105400
82.3902,0.0848225,0.213792,14316.2,3383.09,0.102596,163773,953882,159896,35425.4,16891.6,3.73076e+06,-155770,-31039.9,-1980.48
81.2101,0.0689626,1.38812,14288.4,3414.91,0.0877851,163846,953854,31119.4,160863,14439,3.73079e+06,-23668.3,-157821,1152.58
58.8924,0.906205,5.63046,14842.7,2858.3,0.907508,70425.3,954408,56453,-42104.4,152158,3.73024e+06,-48509.1,41209.8,-131395
