pT_over_pstar,count
0.005,4
0.015,15
0.025,31
0.035,39
0.045,38
0.055,45
0.065,68
0.075,77
0.085,96
0.095,78
0.105,94
0.115,102
0.125,135
0.135,123
0.145,133
0.155,162
0.165,180
0.175,175
0.185,208
0.195,206
0.205,211
0.215,235
0.225,231
0.235,239
0.245,247
0.255,279
0.265,282
0.275,274
0.285,302
0.295,304
0.305,327
0.315,364
0.325,353
0.335,350
0.345,367
0.355,384
0.365,437
0.375,424
0.385,436
0.395,411
0.405,416
0.415,429
0.425,436
0.435,499
0.445,491
0.455,500
0.465,492
0.475,577
0.485,567
0.495,572
0.505,559
0.515,632
0.525,612
0.535,579
0.545,631
0.555,693
0.565,650
0.575,684
0.585,754
0.595,753
0.605,781
0.615,776
0.625,800
0.635,785
0.645,833
0.655,866
0.665,908
0.675,858
0.685,933
0.695,950
0.705,1004
0.715,1063
0.725,1023
0.735,1090
0.745,1075
0.755,1150
0.765,1173
0.775,1226
0.785,1209
0.795,1312
0.805,1315
0.815,1363
0.825,1473
0.835,1531
0.845,1524
0.855,1661
0.865,1741
0.875,1820
0.885,1839
0.895,2063
0.905,2076
0.915,2208
0.925,2410
0.935,2683
0.945,2781
0.955,3227
0.965,3601
0.975,4424
0.985,5891
0.995,8281
