K_keV,count
11043.4,0
11073.4,0
11103.4,0
11133.4,0
11163.4,0
11193.4,0
11223.4,0
11253.4,0
11283.4,0
11313.4,0
11343.4,0
11373.4,0
11403.4,0
11433.4,0
11463.4,0
11493.4,0
11523.4,0
11553.4,0
11583.4,0
11613.4,0
11643.4,0
11673.4,0
11703.4,0
11733.4,0
11763.4,0
11793.4,0
11823.4,0
11853.4,0
11883.4,0
11913.4,0
11943.4,0
11973.4,0
12003.4,0
12033.4,0
12063.4,0
12093.4,0
12123.4,0
12153.4,0
12183.4,0
12213.4,0
12243.4,0
12273.4,0
12303.4,0
12333.4,0
12363.4,0
12393.4,0
12423.4,0
12453.4,0
12483.4,0
12513.4,0
12543.4,0
12573.4,0
12603.4,0
12633.4,0
12663.4,0
12693.4,0
12723.4,0
12753.4,0
12783.4,0
12813.4,0
12843.4,0
12873.4,0
12903.4,2
12933.4,0
12963.4,3
12993.4,4
13023.4,10
13053.4,12
13083.4,25
13113.4,40
13143.4,75
13173.4,114
13203.4,167
13233.4,206
13263.4,327
13293.4,421
13323.4,575
13353.4,734
13383.4,902
13413.4,995
13443.4,1198
13473.4,1437
13503.4,1492
13533.4,1657
13563.4,1695
13593.4,1896
13623.4,2065
13653.4,2034
13683.4,2075
13713.4,2146
13743.4,2206
13773.4,2231
13803.4,2235
13833.4,2299
13863.4,2279
13893.4,2252
13923.4,2298
13953.4,2330
13983.4,2307
14013.4,2283
14043.4,2273
14073.4,2347
14103.4,2264
14133.4,2230
14163.4,2327
14193.4,2308
14223.4,2254
14253.4,2226
14283.4,2291
14313.4,2304
14343.4,2198
14373.4,2336
14403.4,2239
14433.4,2214
14463.4,2252
14493.4,2248
14523.4,2098
14553.4,2044
14583.4,1984
14613.4,1848
14643.4,1765
14673.4,1577
14703.4,1455
14733.4,1274
14763.4,1111
14793.4,924
14823.4,710
14853.4,545
14883.4,407
14913.4,302
14943.4,222
14973.4,152
15003.4,106
15033.4,56
15063.4,34
15093.4,21
15123.4,12
15153.4,8
15183.4,1
15213.4,3
15243.4,1
15273.4,0
15303.4,1
15333.4,0
15363.4,0
15393.4,1
15423.4,0
15453.4,0
15483.4,0
15513.4,0
15543.4,0
15573.4,0
15603.4,0
15633.4,0
15663.4,0
15693.4,0
15723.4,0
15753.4,0
15783.4,0
15813.4,0
15843.4,0
15873.4,0
15903.4,0
15933.4,0
15963.4,0
15993.4,0
16023.4,0
16053.4,0
16083.4,0
16113.4,0
16143.4,0
16173.4,0
16203.4,0
16233.4,0
16263.4,0
16293.4,0
16323.4,0
16353.4,0
16383.4,0
16413.4,0
16443.4,0
16473.4,0
16503.4,0
16533.4,0
16563.4,0
16593.4,0
16623.4,0
16653.4,0
16683.4,0
16713.4,0
16743.4,0
16773.4,0
16803.4,0
16833.4,0
16863.4,0
16893.4,0
16923.4,0
16953.4,0
16983.4,0
17013.4,0
