E_rel_keV,count
2,0
6,43
10,531
14,2006
18,4238
22,6785
26,8816
30,10321
34,10863
38,10508
42,9794
46,8513
50,7077
54,5672
58,4367
62,3237
66,2263
70,1635
74,1101
78,740
82,527
86,328
90,206
94,142
98,102
102,58
106,38
110,35
114,22
118,9
122,11
126,4
130,2
134,5
138,1
142,0
146,0
150,0
154,0
158,0
162,0
166,0
170,0
174,0
178,0
182,0
186,0
190,0
194,0
198,0
202,0
206,0
210,0
214,0
218,0
222,0
226,0
230,0
234,0
238,0
242,0
246,0
250,0
254,0
258,0
262,0
266,0
270,0
274,0
278,0
282,0
286,0
290,0
294,0
298,0
302,0
306,0
310,0
314,0
318,0
322,0
326,0
330,0
334,0
338,0
342,0
346,0
350,0
354,0
358,0
362,0
366,0
370,0
374,0
378,0
382,0
386,0
390,0
394,0
398,0
