T_keV,sv_uniform_m3s,err_uniform,sv_importance_m3s,err_importance,sv_boschhale_m3s
1,6.92988e-27,4.42802e-29,7.01194e-27,6.98728e-28,6.85688e-27
2,3.01863e-25,2.02855e-27,2.65787e-25,1.21934e-26,2.97743e-25
5,1.36192e-23,9.86279e-26,1.3205e-23,2.90742e-25,1.36578e-23
8,6.25665e-23,4.8704e-25,6.20194e-23,9.21779e-25,6.22239e-23
10,1.13593e-22,9.36284e-25,1.13603e-22,1.39347e-24,1.13617e-22
15,2.73844e-22,2.4081e-24,2.73128e-22,2.30203e-24,2.73993e-22
20,4.40049e-22,3.5487e-24,4.37988e-22,2.82986e-24,4.3302e-22
30,6.7423e-22,4.84911e-24,6.76312e-22,3.15286e-24,6.68078e-22
50,8.71667e-22,5.25234e-24,8.68035e-22,2.83255e-24,8.64908e-22
70,8.88702e-22,4.7109e-24,8.94063e-22,2.37826e-24,8.93834e-22
100,8.3797e-22,3.7655e-24,8.4003e-22,1.87373e-24,8.44766e-22
