K_keV,count
12132,0
12151,0
12170.1,0
12189.1,0
12208.2,0
12227.3,0
12246.3,0
12265.4,0
12284.4,0
12303.5,0
12322.6,0
12341.6,0
12360.7,0
12379.7,0
12398.8,0
12417.9,0
12436.9,0
12456,0
12475,0
12494.1,0
12513.2,0
12532.2,0
12551.3,0
12570.3,0
12589.4,0
12608.5,0
12627.5,0
12646.6,0
12665.6,0
12684.7,0
12703.7,0
12722.8,0
12741.9,0
12760.9,0
12780,0
12799,0
12818.1,0
12837.2,0
12856.2,0
12875.3,0
12894.3,0
12913.4,0
12932.5,0
12951.5,0
12970.6,0
12989.6,0
13008.7,0
13027.8,0
13046.8,0
13065.9,1
13084.9,0
13104,0
13123.1,0
13142.1,1
13161.2,2
13180.2,3
13199.3,2
13218.4,6
13237.4,6
13256.5,4
13275.5,13
13294.6,21
13313.7,26
13332.7,24
13351.8,35
13370.8,47
13389.9,55
13409,69
13428,85
13447.1,115
13466.1,154
13485.2,178
13504.3,222
13523.3,222
13542.4,266
13561.4,335
13580.5,410
13599.6,458
13618.6,561
13637.7,669
13656.7,704
13675.8,844
13694.9,965
13713.9,1071
13733,1195
13752,1369
13771.1,1522
13790.2,1647
13809.2,1839
13828.3,2007
13847.3,2081
13866.4,2280
13885.4,2438
13904.5,2591
13923.6,2722
13942.6,2830
13961.7,2983
13980.7,3080
13999.8,3137
14018.9,3142
14037.9,3119
14057,3206
14076,3136
14095.1,3143
14114.2,3072
14133.2,3040
14152.3,2987
14171.3,2829
14190.4,2812
14209.5,2628
14228.5,2481
14247.6,2344
14266.6,2192
14285.7,2034
14304.8,1922
14323.8,1781
14342.9,1567
14361.9,1437
14381,1305
14400.1,1187
14419.1,1016
14438.2,906
14457.2,793
14476.3,719
14495.4,607
14514.4,547
14533.5,453
14552.5,407
14571.6,355
14590.7,268
14609.7,238
14628.8,203
14647.8,148
14666.9,149
14686,98
14705,78
14724.1,65
14743.1,57
14762.2,45
14781.3,47
14800.3,36
14819.4,22
14838.4,22
14857.5,13
14876.6,19
14895.6,7
14914.7,1
14933.7,8
14952.8,5
14971.8,4
14990.9,1
15010,1
15029,2
15048.1,0
15067.1,0
15086.2,1
15105.3,0
15124.3,0
15143.4,0
15162.4,0
15181.5,0
15200.6,0
15219.6,0
15238.7,0
15257.7,0
15276.8,0
15295.9,0
15314.9,0
15334,0
15353,0
15372.1,0
15391.2,0
15410.2,0
15429.3,0
15448.3,0
15467.4,0
15486.5,0
15505.5,0
15524.6,0
15543.6,0
15562.7,0
15581.8,0
15600.8,0
15619.9,0
15638.9,0
15658,0
15677.1,0
15696.1,0
15715.2,0
15734.2,0
15753.3,0
15772.4,0
15791.4,0
15810.5,0
15829.5,0
15848.6,0
15867.7,0
15886.7,0
15905.8,0
15924.8,0
