K_MeV,count
0.125,76
0.375,93
0.625,111
0.875,118
1.125,126
1.375,118
1.625,149
1.875,141
2.125,139
2.375,138
2.625,136
2.875,132
3.125,120
3.375,117
3.625,120
3.875,131
4.125,124
4.375,115
4.625,116
4.875,118
5.125,117
5.375,107
5.625,121
5.875,105
6.125,108
6.375,116
6.625,105
6.875,102
7.125,91
7.375,90
7.625,77
7.875,89
8.125,116
8.375,95
8.625,101
8.875,99
9.125,83
9.375,78
9.625,79
9.875,66
10.125,65
10.375,50
10.625,68
10.875,71
11.125,58
11.375,58
11.625,43
11.875,37
12.125,47
12.375,39
12.625,49
12.875,34
13.125,51
13.375,43
13.625,116
13.875,268
14.125,269
14.375,122
14.625,25
14.875,2
15.125,0
15.375,0
15.625,0
15.875,0
