E_rel_keV,cosTheta_cm,phi,K3_lab_keV,K4_lab_keV,cosTheta3_lab,pT3_lab_keV,E3,px3,py3,pz3,E4,px4,py4,pz4
60.6782,-0.836297,4.45155,14827.9,2911.62,-0.838016,91440.2,954393,-19679,-89297.5,-140436,3.73029e+06,36390.9,75452.3,121229
71.9519,0.248267,0.969475,13940.8,3768.82,0.228808,158143,953506,91698.3,128844,37170.5,3.73115e+06,-80861.3,-136689,-53735
53.9975,0.73773,5.74568,14291.3,3357.82,0.734889,111560,953857,95622.2,-57463.6,120887,3.73074e+06,-90846.2,52316.2,-118545
33.4156,-0.664957,2.04474,13993.6,3635.42,-0.658512,122490,953559,-55367.7,109262,-107181,3.73101e+06,56527.3,-105046,113509
58.1618,0.975296,0.0610289,13660.7,4011.9,0.973231,36956.9,953226,36944.6,953.522,156496,3.73139e+06,-32265.4,-7074.54,-169802
53.182,0.373607,5.41376,14236,3414.04,0.367438,152692,953801,99225.6,-116057,60324.6,3.73079e+06,-91683.8,114106,-63533.1
42.9847,-0.481494,1.68761,14282.9,3356.85,-0.476512,144578,953848,-16216.8,143666,-78361.8,3.73074e+06,18429.3,-135644,79353.2
86.0135,-0.829672,0.603548,14689.2,3039.85,-0.826261,93950.3,954255,78960.5,50910.6,-137811,3.73042e+06,-59939.4,-55090.9,126660
55.0801,-0.975241,5.88783,14385.4,3324.32,-0.97614,35837.5,953951,31015.8,-17954,-161104,3.7307e+06,-42290.8,-1948.28,151660
29.1533,0.904429,0.425724,13506.7,4144.12,0.906124,67633.3,953072,61037,29133.3,144876,3.73152e+06,-72511.9,-27183.4,-157841
41.3985,-0.734533,3.37846,14107.8,3537.72,-0.72678,112255,953673,-108755,-27814.5,-118778,3.73092e+06,103199,18803.5,124023
72.4443,0.88862,5.38068,14027.9,3651.46,0.889905,74335.2,953593,48034.6,-56730.9,145022,3.73103e+06,-40054.1,66827.9,-145478
30.0688,-0.435418,0.975986,13984.2,3642.46,-0.426392,147175,953550,82306,122009,-69377.2,3.73102e+06,-82168.9,-120073,77444.7
40.1066,-0.9581,3.89336,13507.1,4166.16,-0.95352,48178.9,953073,-35028.2,-33079.2,-152456,3.73155e+06,30651.2,27359,171426
61.9625,-0.539945,5.09803,14326.7,3346.99,-0.534766,139174,953892,54550.8,-128037,-88077.3,3.73073e+06,-40491.4,124512,88427.5
65.818,-0.896503,1.04253,14028.4,3632.58,-0.892811,73405,953594,36463.1,63708.3,-145498,3.73101e+06,-36448.1,-57650.2,149804
37.8471,-0.855477,5.40794,13979.3,3682.51,-0.847944,86233.7,953545,53065.6,-67972.8,-137943,3.73106e+06,-58328.2,52663.8,145911
22.9839,-0.983693,0.0967099,14056.1,3565.77,-0.983705,29329.2,953621,28942.8,4745.22,-160470,3.73095e+06,-30170.5,4653.05,160196
47.6892,-0.384153,0.881878,14007.8,3631.26,-0.37998,150632,953573,95431.2,116545,-61878.2,3.73101e+06,-97140.9,-115365,65862.7
56.498,0.805185,3.62708,14089.9,3593,0.808423,96134,953655,-86679.2,-41574.7,132036,3.73097e+06,81442.9,59238.4,-129057
55.3086,-0.435542,2.50981,14571.3,3112.73,-0.449077,148421,954137,-119240,88378.1,-74597.8,3.73049e+06,115940,-80500.8,57375.2
39.3574,0.913743,4.37782,14165.9,3485.96,0.914222,66361.3,953731,-18993.9,-63585.1,149721,3.73087e+06,32609.5,58801.6,-146554
33.7143,0.459952,4.4071,14066.6,3641.15,0.444211,146205,953632,-39165.2,-140862,72490.6,3.73102e+06,60636,127524,-84959.5
65.2029,0.28954,6.15374,14426.1,3246.05,0.281765,158581,953992,157116,-21507.4,46569.5,3.73063e+06,-146571,14951.4,-50025.6
102.122,0.596292,0.0537041,13600.9,4113.94,0.594633,128998,953166,128822,6746.36,95406.5,3.73149e+06,-139606,-8203.32,-105491
44.8066,0.494556,3.93236,14264.2,3375.85,0.498599,142456,953830,-99737.2,-101716,81940.1,3.73076e+06,99771.8,97317.4,-75844.9
63.4525,-0.743469,4.42015,13373.1,4331.45,-0.737533,107433,952939,-31732.3,-102640,-117332,3.73171e+06,30371.3,112052,137225
87.0924,-0.1959,0.0820037,13861.5,3846.81,-0.214597,158213,953427,157752,12063.9,-34761.9,3.73123e+06,-167164,-17265.9,21215.4
37.8086,-0.00662744,0.0593356,14325.9,3322.42,0.00785884,164693,953891,164375,10230.3,1294.34,3.7307e+06,-156892,-7499.1,10373.7
91.8978,0.673037,3.0294,14009,3674.37,0.67034,120846,953574,-120137,13067.2,109167,3.73105e+06,119896,-15339.4,-113114
34.0058,-0.0850236,0.259311,14795,2886.39,-0.0951054,166635,954360,160735,43946.8,-15920,3.73027e+06,-142884,-32796.2,5850.56
13.9903,0.0276507,1.09075,13678.7,3937.2,0.0243401,160860,953244,73969.6,142844,3916.5,3.73132e+06,-80318.9,-151224,-6822.4
42.3706,0.0777873,2.33098,13782.2,3856.54,0.0781065,161026,953348,-110792,116852,12615.7,3.73124e+06,117158,-121941,-12990.8
28.2598,-0.867784,1.04779,14222.6,3429.09,-0.859571,83857,953788,39870,73772.4,-141054,3.73081e+06,-42883,-56300.8,143409
77.416,0.976086,6.24599,13964.8,3726.19,0.97958,32689.9,953530,32689.9,-37.7741,159274,3.73111e+06,-46396,6338.42,-159997
61.9222,-0.410013,1.55134,14501,3166.6,-0.406735,151383,954066,2899.68,151355,-67399.6,3.73055e+06,-2885.5,-139164,65125
102.724,-0.196679,4.20612,14145.6,3554.75,-0.207423,160092,953711,-77668.3,-139989,-33944.9,3.73093e+06,77869.6,140778,25108.6
39.5799,0.213322,0.424971,13843.2,3832.59,0.217387,158008,953409,145558,61477.8,35190.4,3.73121e+06,-143885,-82308.2,-33290.3
116.795,-0.802108,1.34897,14035.2,3689.74,-0.796978,98456.9,953601,23875.2,95518.2,-129912,3.73107e+06,-12125.7,-94210.3,136004
31.2856,0.570707,3.47362,14139.4,3485.21,0.570909,134330,953705,-126612,-44875.6,93409,3.73086e+06,126674,38897.5,-91837.6
47.7943,-0.190629,0.129919,14495.9,3157.29,-0.19113,162626,954061,161222,21319.6,-31666.4,3.73054e+06,-149553,-18541.7,28926.7
80.631,-0.120267,0.363987,13738.7,3945.81,-0.119274,160111,953304,150023,55934.8,-19234.3,3.73133e+06,-157439,-64745.4,21250.1
27.5551,0.796145,3.54592,14037.2,3592.8,0.802779,97203.6,953603,-89892.5,-36984.9,130867,3.73097e+06,94016.9,46020.8,-125854
57.7022,0.488109,6.17635,13948.7,3719.09,0.473968,143087,953514,142183,-16057.5,77019.4,3.7311e+06,-139594,11805.8,-90072.5
67.2951,0.620297,1.46789,13904.4,3756.23,0.617669,127591,953470,13564.8,126868,100210,3.73114e+06,-11555.8,-129450,-105475
66.062,0.0425813,5.65393,14591.3,3091.69,0.0475934,166040,954157,133546,-98665.4,7911.37,3.73047e+06,-125373,85607.7,-3201.88
75.6677,-0.709089,2.62238,14395,3285.23,-0.703794,117286,953960,-101263,59175.9,-116195,3.73066e+06,94971.4,-49183.8,114292
32.828,-0.347666,2.18781,14203.5,3420.5,-0.347396,153774,953769,-88955.4,125433,-56968.7,3.7308e+06,86683.6,-122041,55702.6
25.2448,0.422764,5.71868,14910,2838.43,0.430747,151659,954475,125332,-85394.8,72386.3,3.73022e+06,-123029,54335.7,-55493.2
47.6858,-0.142715,0.959243,14270.3,3391,-0.127457,163035,953836,94668.9,132734,-20950.8,3.73077e+06,-85164.5,-130328,32437.9
53.9336,0.661828,6.06621,13895,3780.1,0.67266,120008,953460,116662,-28143.4,109095,3.73116e+06,-130547,19286,-103824
39.7295,0.324894,4.8427,14273.5,3360.72,0.327301,155339,953839,19638.6,-154093,53806.4,3.73074e+06,-21660.6,148686,-49879.7
64.8304,0.771729,2.65356,13760.3,3936.77,0.76122,104660,953326,-93577.7,46872.1,122853,3.73132e+06,84396.4,-55779.3,-138308
