pT_over_pstar,count
0.005,4
0.015,25
0.025,19
0.035,47
0.045,43
0.055,66
0.065,61
0.075,88
0.085,97
0.095,84
0.105,102
0.115,117
0.125,128
0.135,160
0.145,146
0.155,147
0.165,181
0.175,158
0.185,204
0.195,207
0.205,226
0.215,221
0.225,221
0.235,237
0.245,246
0.255,240
0.265,258
0.275,260
0.285,306
0.295,328
0.305,291
0.315,317
0.325,367
0.335,326
0.345,376
0.355,378
0.365,412
0.375,373
0.385,411
0.395,429
0.405,430
0.415,445
0.425,479
0.435,492
0.445,495
0.455,548
0.465,544
0.475,536
0.485,573
0.495,541
0.505,623
0.515,588
0.525,608
0.535,568
0.545,693
0.555,691
0.565,683
0.575,719
0.585,748
0.595,763
0.605,777
0.615,822
0.625,797
0.635,802
0.645,845
0.655,880
0.665,886
0.675,875
0.685,926
0.695,952
0.705,966
0.715,1022
0.725,1079
0.735,1103
0.745,1138
0.755,1160
0.765,1181
0.775,1255
0.785,1206
0.795,1395
0.805,1358
0.815,1383
0.825,1487
0.835,1563
0.845,1651
0.855,1645
0.865,1703
0.875,1770
0.885,1902
0.895,2055
0.905,2069
0.915,2256
0.925,2410
0.935,2631
0.945,2864
0.955,3147
0.965,3609
0.975,4569
0.985,6132
0.995,8546
